Season,Hour_of_week,Pre_COVID,COVID,Difference
Winter,64,5897.805757575757,5696.814,-200.9917575757563
Winter,65,6244.587272727272,6217.153500000001,-27.43377272727048
Winter,66,6789.988181818181,6899.706499999998,109.71831818181727
Winter,67,6791.709696969699,6858.438499999999,66.7288030303007
Winter,68,6521.976969696971,6507.1415,-14.835469696970904
Winter,69,6205.712575757576,6144.528500000001,-61.18407575757465
Winter,70,5755.261818181816,5725.2635,-29.998318181816103
Winter,71,5314.043484848483,5263.2715,-50.771984848483044
Winter,72,5461.661818181816,5277.603499999998,-184.0583181818174
Winter,73,5044.130303030302,4931.7195,-112.4108030303014
Winter,74,4653.424848484847,4592.511,-60.91384848484631
Winter,75,4378.231515151514,4337.883,-40.34851515151422
Winter,76,4290.908333333334,4232.944,-57.96433333333334
Winter,77,4366.404393939394,4307.353499999999,-59.05089393939488
Winter,78,4805.463333333333,4705.6435,-99.81983333333301
Winter,79,5806.286212121213,5543.0925,-263.19371212121314
Winter,80,6443.573333333331,6245.771999999999,-197.80133333333197
Winter,81,6489.065909090908,6445.02,-44.04590909090712
Winter,82,6300.489393939392,6069.2585,-231.23089393939244
Winter,83,6046.4601515151535,5597.159500000001,-449.3006515151528
Winter,84,5881.737424242425,5320.295,-561.4424242424247
Winter,85,5769.939242424241,5231.473999999999,-538.4652424242413
Winter,86,5823.7653030303045,5267.464,-556.3013030303046
Winter,87,5829.127272727274,5326.678000000001,-502.44927272727364
Winter,88,5941.901818181816,5589.6669999999995,-352.234818181817
Winter,89,6266.9842424242415,6124.438,-142.54624242424143
Winter,90,6790.918181818183,6839.920999999999,49.00281818181611
Winter,91,6804.421969696969,6808.983,4.561030303030748
Winter,92,6538.295606060608,6508.1715,-30.124106060608028
Winter,93,6243.726666666668,6160.0215,-83.70516666666845
Winter,94,5773.154696969697,5756.474,-16.680696969697237
Winter,95,5331.609393939394,5298.079499999998,-33.52989393939606
Winter,96,5463.726363636364,5305.7615,-157.9648636363645
Winter,97,5020.612878787879,4940.8835,-79.72937878787889
Winter,98,4651.707121212121,4603.501,-48.206121212120706
Winter,99,4382.950909090908,4344.071499999998,-38.879409090909576
Winter,100,4280.359242424242,4245.508500000001,-34.850742424241616
Winter,101,4345.382424242423,4315.085,-30.297424242423403
Winter,102,4775.278636363634,4725.0835,-50.19513636363445
Winter,103,5725.849090909093,5558.541000000001,-167.30809090909224
Winter,104,6377.138787878787,6232.0435,-145.09528787878753
Winter,105,6454.678030303027,6497.969999999999,43.291969696972046
Winter,106,6271.339545454544,6233.1185000000005,-38.221045454543855
Winter,107,5991.554090909092,5858.880999999999,-132.67309090909293
Winter,108,5807.231515151513,5622.807499999999,-184.42401515151414
